JAR_ID,TOKEN,FULL_URL
zelonade-01,OnKsTnMx88zVlY99Qi6BWg,https://skexotics.com/products/OnKsTnMx88zVlY99Qi6BWg.html
zelonade-02,meo5t2ZBmYni4-yPivP1Ww,https://skexotics.com/products/meo5t2ZBmYni4-yPivP1Ww.html
zelonade-03,2JlEQSBBo1zy_VioCXkYlA,https://skexotics.com/products/2JlEQSBBo1zy_VioCXkYlA.html
zelonade-04,bXULME2L4k7VTGZPhv5Keg,https://skexotics.com/products/bXULME2L4k7VTGZPhv5Keg.html
z-pie-01,xC3XqSl7LIwERlRNqH458A,https://skexotics.com/products/xC3XqSl7LIwERlRNqH458A.html
z-pie-02,RwsPBKGXyS8uHMUJmdVHkQ,https://skexotics.com/products/RwsPBKGXyS8uHMUJmdVHkQ.html
z-pie-03,ftde6_ElOPBRsEvJx6lwQw,https://skexotics.com/products/ftde6_ElOPBRsEvJx6lwQw.html
z-pie-04,8VsrzVRUOWxQ4kvCDaljGA,https://skexotics.com/products/8VsrzVRUOWxQ4kvCDaljGA.html
triple-skittles-01,dJYm2ynZG1h0gF3O-5KeLA,https://skexotics.com/products/dJYm2ynZG1h0gF3O-5KeLA.html
triple-skittles-02,6wEdpcB5Ei5QirkZUB_F1Q,https://skexotics.com/products/6wEdpcB5Ei5QirkZUB_F1Q.html
triple-skittles-03,DWlYKOlzIqsumAIsWzPgAw,https://skexotics.com/products/DWlYKOlzIqsumAIsWzPgAw.html
triple-skittles-04,ipF9TN8D3ds72n-Y0OkJ_w,https://skexotics.com/products/ipF9TN8D3ds72n-Y0OkJ_w.html
triple-skittles-05,MpW7fBNe1pqMusYQF4_o4A,https://skexotics.com/products/MpW7fBNe1pqMusYQF4_o4A.html
triple-skittles-06,Ww4fyWA8_Z6LK3QmeXfysA,https://skexotics.com/products/Ww4fyWA8_Z6LK3QmeXfysA.html
triple-skittles-07,Pqzw_mhy_6ELftWZ0oM8VA,https://skexotics.com/products/Pqzw_mhy_6ELftWZ0oM8VA.html
triple-skittles-08,bmVTNM4vogi3bUGnlLXQ_w,https://skexotics.com/products/bmVTNM4vogi3bUGnlLXQ_w.html
dark-arts-01,zsN2ITjKohChMJZIfN3bOQ,https://skexotics.com/products/zsN2ITjKohChMJZIfN3bOQ.html
dark-arts-02,f6E7NXx8yHe0fkpXNgFHBA,https://skexotics.com/products/f6E7NXx8yHe0fkpXNgFHBA.html
dark-arts-03,0zoq8oRpG9JoatP2uAjWdQ,https://skexotics.com/products/0zoq8oRpG9JoatP2uAjWdQ.html
dark-arts-04,44ds7SAjb_gR8SjWIW3ubA,https://skexotics.com/products/44ds7SAjb_gR8SjWIW3ubA.html
dark-arts-05,eFCBozh9q_EfW_c891RFIA,https://skexotics.com/products/eFCBozh9q_EfW_c891RFIA.html
dark-arts-06,9UJja6g0sNdcMm4omThqZA,https://skexotics.com/products/9UJja6g0sNdcMm4omThqZA.html
dark-arts-07,DUNGz7np2GMxFUtJ4EhIsQ,https://skexotics.com/products/DUNGz7np2GMxFUtJ4EhIsQ.html
